,region,year,unemployment_rate
0,Hlavní město Praha,2000,4.2047976612
1,Středočeský kraj,2000,7.5079469042
2,Jihočeský kraj,2000,5.8445106356
3,Plzeňský kraj,2000,6.2449543578
4,Karlovarský kraj,2000,8.41145006
5,Ústecký kraj,2000,15.9749747708
6,Liberecký kraj,2000,6.172455361
7,Královéhradecký kraj,2000,6.1099407545
8,Pardubický kraj,2000,8.2884610869
9,Kraj Vysočina,2000,6.7587537336
10,Jihomoravský kraj,2000,8.2819268685
11,Olomoucký kraj,2000,12.7834933116
12,Zlínský kraj,2000,8.115417618
13,Moravskoslezský kraj,2000,14.3400483328
16,Hlavní město Praha,2001,3.8572525969
17,Středočeský kraj,2001,6.728696224
18,Jihočeský kraj,2001,5.5971811826
19,Plzeňský kraj,2001,5.7814570343
20,Karlovarský kraj,2001,7.3653100724
21,Ústecký kraj,2001,13.3234593452
22,Liberecký kraj,2001,6.209932128
23,Královéhradecký kraj,2001,6.0950674737
24,Pardubický kraj,2001,6.3662701292
25,Kraj Vysočina,2001,6.0772318138
26,Jihomoravský kraj,2001,8.5479398344
27,Olomoucký kraj,2001,10.4096416638
28,Zlínský kraj,2001,8.5019798714
29,Moravskoslezský kraj,2001,14.2932369299
32,Hlavní město Praha,2002,3.6404363952
33,Středočeský kraj,2002,4.90773491
34,Jihočeský kraj,2002,4.9878220666
35,Plzeňský kraj,2002,4.6613982404
36,Karlovarský kraj,2002,7.4878000068
37,Ústecký kraj,2002,12.7489660865
38,Liberecký kraj,2002,4.702710131
39,Královéhradecký kraj,2002,4.1744115228
40,Pardubický kraj,2002,7.1551425416
41,Kraj Vysočina,2002,5.1107111591
42,Jihomoravský kraj,2002,7.6101163766
43,Olomoucký kraj,2002,9.6105053967
44,Zlínský kraj,2002,7.9138660189
45,Moravskoslezský kraj,2002,13.3170555434
48,Hlavní město Praha,2003,4.1943298877
49,Středočeský kraj,2003,5.157024388
50,Jihočeský kraj,2003,5.173394169
51,Plzeňský kraj,2003,5.3108018709
52,Karlovarský kraj,2003,6.3885694859
53,Ústecký kraj,2003,12.996696358
54,Liberecký kraj,2003,6.1108156435
55,Královéhradecký kraj,2003,5.8474220978
56,Pardubický kraj,2003,7.6042539326
57,Kraj Vysočina,2003,5.3230506492
58,Jihomoravský kraj,2003,8.0465944405
59,Olomoucký kraj,2003,9.5673726931
60,Zlínský kraj,2003,7.5322050292
61,Moravskoslezský kraj,2003,14.7477777726
64,Hlavní město Praha,2004,3.889630159
65,Středočeský kraj,2004,5.3895220594
66,Jihočeský kraj,2004,5.7149152238
67,Plzeňský kraj,2004,5.8262931568
68,Karlovarský kraj,2004,9.407445612
69,Ústecký kraj,2004,14.4525572496
70,Liberecký kraj,2004,6.4070720457
71,Královéhradecký kraj,2004,6.5874667601
